aamu	утро
aamiainen	завтрак
aamupäivä	первая половина дня
Aasia	Азия
aasialainen	азиат
afrikkalainen	африканец
aherrus	труд
ahven	окунь
Ahvenanmaa (saaristoalue)	Аландские острова
Ai	Aх.
Ai jaa.	Aх так.
Ai niin.	Aх да.
aiemmin	раньше
aika (= melko)	довольно...
aika	время
aika lailla (= melko paljon)	порядочно
aika tavalla (= melko paljon)	довольно много
aikuinen	взрослый
aina	всегда ainakaan (> ainakin) по крайней мере не, во всяком случае не ainakin ? ei ainakaan по крайней мере, во всяком случае
ainoa	единственный
ainoastaan	только, лишь
aivan	совсем, совершенно; точно
ajaa	водить; возить; ездить; про/вы/изгонять и проч
ajanvaraus	запись на прием (к врачу); назначенная встреча (в учреждениях и проч.)
ajatella	мыслить, думать
ajatus	мысль
ajella	ездить; кататься
ajokeli	состояние дороги (хорошее, плохое...)
alahylly	нижняя полка
alakaappi	нижний шкаф
alakerta	нижний этаж
alas	вниз
alhaalla	внизу
alkaa	начинаться
alku	начало
alkupala	закуска
alla	под (кем-чем)
allas	бассейн; раковина
allekirjoitus	подпсиь
aloittaa	начинать aluksi (> alku) для начала, сначала, вначале (> начало) (транслатив ед. ч.)
alusvaate	[нижнее] белье
ambulanssi	машина скорой помощи
Amerikka	Америка, США
amerikkalainen	американец; американский
ampua	стрелять
ansaita	зарабатывать; заслуживать
ansio	заработок; заслуга
antaa	давать; дарить
antaa anteeksi	прощать, извинять
apteekki	аптека
apu	помощь
arkipäivä	будний день
artikkeli	статья
arvata	от/раз/угадывать; догадываться
arvostelija	критик; рецензент
arvostelu	оценка; критика; рецензия
asema	вокзал; станция; положение
asia	дело, вещь, вопрос
asiakas	клиент
aste	стадия, ступень, степень; градус; инстанция
asti	до (кого-чего), по (что); от, с (чего)
astia	посуда, посудина
astialaatikko	ящик для посуды
astianpesuaine	посудомоечная жидкость
astianpesukone	посудомоечная машина
asua	жить; проживать
asua vuokralla	жить в наемной квартире, снимать квартиру
asunto	квартира
aukaista	открывать
auki	открыто; расстегнуто; включено и проч.
aula	холл, вестибюль; фойе
aurinko	солнце
auto	автомобиль, машина
autoilija	автомобилист
autolautta	автомобильный паром
auttaa	помогать
avain	ключ
avata	открывать; раскрывать; отпирать; включать и пр.
avioliitto	брак
avulias	готовый помочь    
 	 
B	Наверх
baari	бар; буфет; закусочная
B-kansi	палуба Б
bussi	автобус  
 	 
C	Наверх
C-vitamiini	витамин С    
 	 
D	Наверх
dollari	доллар [США]    
 	 
E	Наверх
edelleen	дальше, далее; по-прежнему
edellinen	предыдущий, прошлый
edes	хотя бы, хоть; даже не
edessä	впереди; перед (кем-чем)
edestakainen	туда и обратно (путь, билет и т. п.)
edullinen	выгодный, дешевый
ehdoton	безусловный, абсолютный
ehdottaa	предлагать
